_Area,_Location,_Class,_Name,_19Jan,_19Feb,_19Mar,_19Apr,_19May,_19Jun,_19Jul,_19Aug,_19Sep,_19Oct,_19Nov,_19Dec,_20Jan,_20Feb,_20Mar,_20Apr,_20May,_20Jun,_20Jul,_20Aug,_20Sep,_20Oct,_20Nov,_20Dec,_21Jan,_21Feb,_21Mar,_21Apr,_21May,_21Jun,_21Jul,_21Aug,_21Sep,_21Oct,_21Nov,_21Dec,_22Jan,_22Feb,_22Mar,_22Apr,_22May,_22Jun,_22Jul,_22Aug,_22Sep,_22Oct,_22Nov,_22Dec,_23Jan,_23Feb,_23Mar,_23Apr,_23May,_23Jun,_23Jul,_23Aug,_23Sep,_23Oct,_23Nov,_23Dec,_19Total,_20Total,_21Total,_22Total,_23Total,_Total,_20Rate,_21Rate,_22Rate,_23Rate,_before,_after,_rate
Northern,Taipei City,Others,關渡自然公園,7912,5969,9504,11062,8813,7702,7145,6459,10135,18101,16665,12087,6339,8762,8770,9137,9534,7669,7518,7507,7672,16117,18203,9331,8605,7067,8062,9311,4445,0,552,4869,5421,7502,9798,8073,5114,5183,9037,7004,5131,5561,7474,6896,5717,7334,18499,8396,4252,5818,6453,8904,5689,5838,5544,5681,9875,30716,11045,8937,121554,116559,73705,91346,108752,511916,-4.11,-36.77,23.93,19.06,271158,230892,-0.14849644856504327
Northern,New Taipei City,Museums,新北市坪林茶業博物館,7914,10030,9196,10709,13188,16036,13263,13240,13433,15338,13035,12370,9263,10155,1241,0,8990,12066,9549,12931,10936,14156,13063,5216,9054,11462,10560,12415,4542,0,99,769,408,5807,9608,10570,5599,9272,10362,18050,6236,9438,13374,14122,8612,9042,7933,7474,27264,14292,14103,32271,21567,25139,22441,19502,16206,21132,13081,14656,147752,107566,75294,119514,241654,691780,-27.2,-30.0,58.73,102.2,298809,387561,0.29701916608937484
Southern,Pingtung County,National Scenic Areas,涼山遊憩區,8007,16964,10229,11726,8179,12474,7693,4951,12612,15299,9865,8597,10417,14032,15011,17855,11090,20055,17053,13631,11157,21796,15519,13090,13989,24268,12381,12147,4754,0,1886,3296,10124,15614,12887,11929,8338,17344,8207,11109,5485,10366,11800,9096,7114,9181,9300,8679,13703,8501,7614,10062,6506,5930,4935,1913,3053,8223,8077,5929,126596,180706,123275,116019,84446,631042,42.74,-31.78,-5.89,-27.21,370087,251019,-0.321729755435884
Southern,Chiayi County,National Scenic Areas,觸口遊客中心,8018,8453,8647,8223,7665,8216,9685,7517,5769,5197,4581,4352,5054,4561,4713,3486,3921,5834,7893,7484,4479,5375,3982,2708,3987,6105,5642,8498,3689,0,704,2437,3180,4426,4175,4311,3557,5185,3998,3329,2525,3430,5116,5195,4331,3940,2493,2271,3453,3577,4048,4020,2898,4333,5240,4314,3491,4503,4421,3822,86323,59490,47154,45370,48120,286457,-31.08,-20.74,-3.78,6.06,170045,109582,-0.3555705842571084
Northern,New Taipei City,Forest Recreation Areas,滿月圓國家森林遊樂區,8036,14019,14453,16395,15891,21377,26447,19401,18566,25506,20101,15570,11017,20161,18400,17153,24820,35479,43207,44320,26414,35492,26014,18744,17052,20420,17754,24288,11176,0,10462,19599,24839,22420,15762,17367,10693,10023,17942,14566,10452,20228,34908,30604,16760,14792,20164,11912,15796,14784,15151,21894,16243,19516,25892,18086,21216,19671,21855,16663,215762,321221,201139,213044,226767,1177933,48.88,-37.38,5.92,6.44,616497,520199,-0.15620189554855904
Southern,Pingtung County,National Parks,龍鑾潭自然中心,8262,6123,4991,6083,5802,7413,7044,13463,8852,9758,9276,8500,7392,5500,3506,1740,2381,3553,4349,5414,4846,10214,7983,6848,7563,5694,5627,7661,1954,0,310,2322,2352,5224,6707,11047,4645,5406,5945,7661,1962,2167,3835,4244,4772,4244,4161,5073,5117,3541,3558,4380,4173,4817,3882,3587,4160,4971,5405,4586,95567,63726,56461,54115,52177,322046,-33.32,-11.4,-4.16,-3.58,185838,131622,-0.2917379653246376
Northern,Taoyuan City,Others,埔心牧場,8325,30094,40970,68650,38640,38932,46317,45956,45516,90519,46580,31256,49775,43483,30467,26191,34838,49754,46969,68241,47060,71834,56893,32337,24330,43487,37761,65693,16607,0,4514,26757,23327,36562,45354,54400,15390,33588,39858,31494,8730,19163,30184,44820,38820,52889,46287,29915,58790,46372,28389,57801,34690,29527,25910,30946,46497,57811,56350,50287,531755,557842,378792,391138,523370,2382897,4.91,-32.1,3.26,33.81,1260868,1074151,-0.14808608038272048
Central,Nantou County,Others,國立自然科學博物館鳳凰谷鳥園生態園區,8355,14550,10121,13003,9975,14126,15291,10560,11916,14785,12048,9382,9448,11286,13408,14592,15339,19619,22950,24338,13647,24674,18195,13182,14741,24305,18261,22583,11568,0,3088,8993,12864,22575,21183,17996,14759,23908,15673,18154,7484,15331,29796,25792,15065,19934,16092,14430,20516,18290,11956,23652,13071,14265,19004,12991,11001,16317,15522,12198,144112,200678,178157,216418,188783,928148,39.25,-11.22,21.48,-12.77,424680,479819,0.12983658283884336
Southern,Pingtung County,National Parks,社頂自然公園,8637,9482,8577,8130,7383,7062,5704,4021,7892,13373,9589,9225,7171,6764,5248,4303,3722,5556,6413,5507,8382,13362,11788,7998,8366,11664,11070,11516,5484,188,1124,4272,5983,12867,12323,11393,8725,12498,14124,9277,4018,4536,1702,6726,10187,9313,8658,9636,7887,9963,7880,9993,6208,5422,5135,4767,5738,8270,3529,6470,99075,86214,96250,99400,81262,462201,-12.98,11.64,3.27,-18.25,227905,223228,-0.020521708606656284
Northern,Taipei City,National Parks,陽明書屋,8761,12488,2415,11296,10862,10557,13671,11650,7134,9475,10703,8483,8983,9847,8295,5819,6886,8747,9086,7959,5855,6569,5888,5376,4434,5299,4925,6117,2403,0,426,1252,1304,1449,2604,3162,3381,4017,4102,3701,2617,3996,4746,4770,3297,2896,3858,3078,4570,13989,14737,14258,11019,7984,8942,5106,4342,7677,7411,6415,117495,89310,33375,44459,106450,391089,-23.99,-62.63,33.21,139.43,227580,159428,-0.2994639247737059
Central,Taichung City,Forest Recreation Areas,八仙山國家森林遊樂區,8767,13898,9932,9345,7286,11790,13274,7715,12269,16863,15627,12516,10924,10509,6011,6668,8309,12087,21179,25940,20078,33219,22663,20707,14617,17284,11924,14808,7694,114,1958,5507,8855,16890,18659,20890,14965,13995,13727,12008,6758,8888,19821,20570,17667,19610,17885,17557,14746,15233,11999,14957,10934,14218,19576,10836,10216,15769,15609,14556,139282,198294,139200,183451,168649,828876,42.37,-29.8,31.79,-8.07,396209,417394,0.053469254862963736
Northern,Yilan County,Municipallevel and Countylevel Scenic Area,冬山河親水公園,8859,16984,13849,13194,13158,26749,270030,243563,10549,21009,13255,11300,19169,12751,8694,9103,9417,12655,108179,119337,9228,19329,9327,6100,9644,21833,13508,17486,5791,0,1012,12916,12969,13165,13103,11953,10243,13296,12294,13176,7564,7468,261600,155144,10422,10810,8785,7614,15910,11864,11211,21258,12631,28226,299341,155020,8790,15792,8775,10155,662499,343289,133380,518416,598973,2256557,-48.18,-61.15,288.68,15.54,1068259,1168579,0.0939098102613692
Central,Taichung City,Tourist Areas,東勢林場遊樂區,8898,21057,12842,43217,14970,7911,9371,6877,6822,12881,11147,10140,13184,12858,7932,20571,19617,9940,13978,14902,8680,13997,8940,9488,7769,18151,7774,43757,11357,0,694,2875,4354,10609,10609,13278,10685,28165,13589,33058,33058,7203,17335,18984,10815,15780,15286,12923,25303,25232,11438,46353,16400,10069,10166,8751,8144,14775,14752,14497,166133,154087,131227,216881,205880,874208,-7.25,-14.84,65.27,-5.07,397671,461611,0.16078617751860205
Southern,Tainan City,Others,頑皮世界,8949,25687,16378,16403,9287,11360,9711,8142,11493,19689,21253,12635,15645,12522,15163,15839,14287,33595,64765,81730,21194,42035,32351,31813,29706,46636,33480,29569,9869,0,3275,18068,24572,40423,41208,38873,35569,67029,40715,36566,9764,19960,58641,75846,35032,40537,32200,30566,83618,54417,36151,51894,23445,24713,31104,28382,14761,27479,34095,35255,170987,380939,315679,482425,445314,1795344,122.79,-17.13,52.82,-7.69,691317,1072815,0.5518423530739155
Eastern,Taitung County,National Scenic Areas,八仙洞,9103,11909,14631,13833,11626,10271,11551,9482,11625,11476,8815,6124,14833,7692,3774,3981,4942,10788,18211,16908,12798,16205,9088,5045,4358,10315,4693,7191,2313,0,1311,5760,4383,4704,5502,4881,4840,8283,3165,4007,1929,4430,9290,6508,3850,2852,3202,2981,8047,4475,2895,8439,5347,1335,4164,5167,4978,6822,5730,4576,130446,124265,55411,55337,61975,427434,-4.74,-55.41,-0.13,12.0,281268,136782,-0.5136951235120952
Northern,Yilan County,Forest Recreation Areas,明池森林遊樂區,9111,16313,12076,11671,9596,14244,19992,13968,12129,16054,15504,12416,9664,11063,5633,5499,8040,16400,20928,21846,12615,15953,18280,12880,12621,15768,10711,11692,4819,0,3536,11046,11547,11296,15561,16471,9508,11582,8628,6165,3475,9449,21328,19719,9684,4308,313,2864,4229,4941,3589,6775,4447,7404,11255,8349,5173,7010,8343,8126,163074,158801,125068,107023,79641,633607,-2.62,-21.24,-14.43,-25.59,372667,241539,-0.3518637282077565
Eastern,Hualien County,National Scenic Areas,新光兆豐休閒農場,9214,19681,10177,13837,12001,9053,13060,10146,7981,15105,9179,8644,17810,14338,7665,7915,8614,14492,16019,25408,14716,19678,12297,11207,13484,21629,8613,15450,5576,0,1930,9074,6920,10065,12783,10472,10247,15556,6553,6996,2109,4592,10212,10170,6280,5958,5107,6645,17256,9315,5184,11711,5596,6719,8529,8358,6400,6013,8837,9071,138078,170159,115996,90425,102989,617647,23.23,-31.83,-22.04,13.89,367413,233654,-0.36405625277276527
Eastern,Taitung County,National Scenic Areas,原生應用植物園,10066,11017,12193,10760,10967,11245,17650,13106,11926,14346,14143,12566,13685,9490,4593,4087,4404,10466,18936,32152,21666,20761,15908,12869,10774,15158,10352,12118,6118,0,311,5893,6375,10019,16565,17910,13474,15459,10453,8982,3584,5560,23289,20969,11908,11974,8304,10106,14032,9564,7589,11266,7802,8309,12970,13799,6126,9302,8150,8404,149985,169017,111593,144062,117313,691970,12.69,-33.98,29.1,-18.57,367404,312244,-0.15013445689214053
Central,Taichung City,Others,霧峰林家園區,10086,11874,11966,14064,13713,14390,12866,12149,14765,16625,18294,16851,17199,12453,6093,6882,7485,13442,13712,17648,11595,25481,22401,20490,17919,22413,14562,20850,6404,0,633,3896,8249,15638,23514,28079,16904,23976,15722,15054,4205,5249,10636,13524,15504,18597,19508,19734,23456,17036,17607,13085,11011,9443,8816,8892,8840,11712,12677,11807,167643,174881,162157,178613,154382,837676,4.32,-7.28,10.15,-13.57,418268,408475,-0.023413218319355056
Central,Miaoli County,Others,西湖渡假村,10124,5835,8068,12252,10960,4964,3332,3711,5674,10661,8632,8659,9434,5131,5131,5384,4500,4210,7181,6233,5002,8709,6917,7612,7612,23501,6468,38304,10053,0,50,2420,2100,5467,5467,3401,2347,12916,3348,14811,7431,4569,7582,11425,8610,5399,5502,6667,14140,12574,11582,18485,15330,8677,8189,7085,7085,9478,11566,11566,92872,75444,104843,90607,135757,499523,-18.77,38.97,-13.58,49.83,244201,242799,-0.005741172231071945
Southern,Pingtung County,National Parks,佳樂水,10191,16637,11837,12613,11532,10852,15128,12535,12023,15263,12107,11369,2247,8724,5734,5016,5306,11033,13125,13196,9337,17880,12884,11926,9170,13700,11247,12509,6651,0,1006,6876,7032,12984,14931,12652,7229,12937,9151,0,0,0,0,0,0,0,0,0,8733,7024,5884,8583,4037,4889,5128,5630,2431,3093,3453,3440,152087,116408,108758,29317,62325,468895,-23.46,-6.57,-73.04,112.59,315121,139241,-0.558134811707249
Northern,Taipei City,National Parks,陽明公園,10340,362770,616450,35100,28300,26400,14400,13300,13500,9800,9400,9300,63502,182033,395529,17600,10400,20600,15600,17800,15420,7380,10070,8690,14994,609339,572943,12322,3022,18052,9750,14460,13520,6308,5970,6622,202150,278450,544370,525003,219193,207641,296942,362586,203882,184476,330665,137314,351555,383053,658319,611056,549175,483219,457438,399813,475343,556056,498650,488298,1149060,764624,1287302,3492672,5911975,12605633,-33.46,68.36,171.32,69.27,3123282,9437067,2.0215225522383187
Central,Nantou County,Forest Recreation Areas,惠蓀林場,10493,19663,12164,13843,8537,11999,14262,7152,16140,16455,13920,10082,10749,10954,6611,7958,8545,15612,17117,17954,13233,18359,13273,11238,9553,15930,8713,12469,5693,0,2561,5624,10009,15924,15096,12429,9010,12441,9418,9301,4038,6229,13988,13568,10844,14108,10734,10416,13820,10492,8762,13347,8839,11390,12887,6457,9209,13416,10627,11116,154710,151603,114001,124095,130362,674771,-2.01,-24.8,8.85,5.05,352978,307915,-0.12766518026619222
Central,Taichung City,Others,福壽山農場,10928,25887,15942,9645,7577,11849,19427,10716,14437,32453,73125,30094,11047,23927,14041,8599,11330,16216,25341,26266,15690,33582,73487,43420,13126,25074,24606,14014,6815,0,1843,10589,11403,27464,76446,43910,12554,35796,35637,11494,4480,8540,21278,19758,13751,25138,56310,29110,14096,42080,34712,14579,9683,11985,17677,9624,8270,21192,49077,30308,262080,302946,255290,273846,263283,1357445,15.59,-15.73,7.27,-3.86,641846,696352,0.08492068190812126
Central,Nantou County,Municipallevel and Countylevel Scenic Area,東埔溫泉,11036,10126,13115,16492,18337,12149,21277,17301,14515,30142,16090,9912,12243,14753,4949,11742,11054,19593,25471,24926,18501,36561,29130,12051,15834,18270,14228,25816,8505,744,1443,4518,15120,29936,20878,15015,14571,16940,16870,16387,5243,6808,25193,26586,16789,17273,24826,10710,17567,15628,14928,30405,16734,17514,27255,26317,17231,21494,21924,12100,190492,220974,170307,198196,239097,1019066,16.0,-22.93,16.38,20.64,485614,518242,0.06718916670441956
Central,Nantou County,National Parks,玉山管理處遊客服務中心,11190,11363,9086,8806,10814,9319,10718,9276,7502,9474,8179,9109,13130,6426,5554,5946,6291,8255,10560,14369,10399,15137,17943,13099,20647,12426,9732,11425,16145,0,122,1423,2624,4334,6729,7013,12002,4817,4805,3826,2427,2844,4013,3743,3565,4529,3810,5271,5931,8036,4446,4557,4790,4705,5040,3314,2928,3778,4489,4248,114836,127109,92620,55652,56262,446479,10.69,-27.13,-39.91,1.1,296175,132614,-0.5522444500717482
Northern,New Taipei City,National Scenic Areas,金山遊憩區,11216,27614,32664,49421,43923,38658,35669,34915,43470,59788,46784,37025,39103,45769,54740,51497,87189,94671,107521,116309,81786,80838,57468,29927,42308,52152,49321,54130,31443,1456,4243,21109,35011,39404,22917,19856,12958,26788,45652,36591,19545,27081,34882,34892,36987,34244,32242,22790,42191,40421,51420,52191,50411,38242,40768,38014,45815,53594,40762,27123,461147,846818,373350,364652,520952,2566919,83.63,-55.91,-2.33,42.86,1505876,1002792,-0.33408062815265
Northern,New Taipei City,National Scenic Areas,翡翠灣濱海遊憩區,11272,14060,15997,14893,13465,13386,14704,15743,10061,12746,13047,12921,9770,3759,1558,1204,128,238,144,180,191,1346,3520,3502,1006,1662,532,1362,260,90,351,1327,1314,2086,2053,2016,1056,1320,2006,1845,608,2022,4100,3933,2362,3015,2424,2606,3003,2336,1922,2659,862,21754,4241,3781,1197,1438,1368,29406,162295,25540,14059,27297,73967,303158,-84.26,-44.95,94.16,170.97,192397,108733,-0.43485085526281597
Central,Taichung City,National Parks,武陵遊客中心,11621,42651,20308,8462,4460,8350,16692,10251,8669,12231,14755,13008,13011,45724,11269,5860,5534,11305,21012,19722,10455,17134,16883,16641,13073,39125,18464,9471,3757,0,2241,6642,3772,10639,16117,18110,12751,25981,14365,8268,2727,7148,16038,13235,6660,8455,15449,14161,15384,39887,12529,10411,7048,9931,13033,7856,2778,3485,6545,4535,171458,194550,141411,145238,133422,786079,13.47,-27.31,2.71,-8.14,446141,327298,-0.26637991128365246
Southern,Tainan City,National Scenic Areas,曾文水庫,11943,28290,18948,19358,16214,18044,20743,24757,19154,29431,22126,42565,8940,29584,18071,18609,17118,18849,29782,32669,28505,33076,25648,39572,16324,35959,26332,25886,18581,1553,5642,17256,25928,23964,28639,49734,13802,36878,25697,26113,12684,17931,29667,30605,27493,28291,29930,38136,25799,18936,23811,21178,18142,17436,21834,25303,26159,38137,37575,47371,271573,300423,275798,317227,321681,1486702,10.62,-8.2,15.02,1.4,676497,767173,0.13403754931655276
Central,Nantou County,Others,紙教堂見學園區,12382,21108,13782,14382,7939,13374,19828,16231,13547,17894,15102,13003,18779,14745,6209,6483,6913,12095,15061,19229,11363,16283,12595,9354,10745,16465,7889,10208,3914,0,934,6177,6504,10141,12667,11672,8359,12537,7223,8359,3308,4389,10895,11912,6843,9716,7370,7914,9102,6435,4393,8036,4964,6082,7257,5651,3962,7312,6085,5727,178572,149109,97316,98825,75006,598828,-16.5,-34.73,1.55,-24.1,372988,214815,-0.42406994326895237
Eastern,Hualien County,Others,慶修院,12686,27485,17138,15997,12831,17543,26729,18479,15182,21963,16218,12975,24830,21982,11349,12577,13511,27069,51936,60873,30618,41387,20959,20873,25153,36364,17178,22014,8508,0,3071,13889,14957,17699,20487,20967,17702,26058,15457,15215,6024,14830,41142,40918,24410,23631,15098,20917,33051,23573,15742,28999,16439,22649,31636,31951,16258,21210,23381,20936,215226,337964,200287,261402,285825,1300704,57.03,-40.74,30.51,9.34,653899,621337,-0.04979668113883031
Northern,New Taipei City,National Scenic Areas,鼻頭龍洞遊憩區,12895,16589,18091,22287,25614,30136,44666,32381,24403,25174,21598,13564,15425,15158,11148,14052,22723,54790,57393,45621,20474,26468,22503,9722,11130,25984,15351,23229,12387,0,803,15741,22025,18098,14194,11866,8092,12118,15066,17903,9741,21623,47362,38662,15418,12301,12663,5379,16946,13304,17217,20415,17054,26736,39969,29988,24019,22809,19663,13884,287398,315477,170808,216328,262004,1252015,9.77,-45.86,26.65,21.11,678569,544515,-0.1975539701931565
Central,Nantou County,Forest Recreation Areas,奧萬大國家森林遊樂區,13527,16745,8152,4581,2305,11713,7852,3816,6385,16970,38017,50734,15750,18497,6296,5724,4624,6722,17408,12833,7739,21421,56324,72058,19292,20179,9056,6066,3388,738,2606,3634,5969,13191,34631,59266,33869,19853,10471,6488,4368,2989,11201,7659,5552,13844,32878,49233,25654,14434,5963,6420,3255,4043,11534,345,0,15,330,712,180797,245396,178016,198405,72705,875319,35.73,-27.46,11.45,-63.36,480786,384167,-0.20096051049739386
Southern,Pingtung County,National Scenic Areas,小琉球遊憩區,13926,28988,28405,43585,42332,54055,58209,34140,40020,46956,31941,19031,18762,13008,7601,8259,9407,31918,54317,56750,36937,51818,26192,15840,57267,80630,76854,114778,56918,14208,18353,37616,65492,101670,93312,105880,48170,62884,73415,72362,38784,74729,130978,117304,103349,114011,82257,68789,79524,72949,74818,122916,94665,118047,120575,106557,81300,99228,80673,66638,441588,330809,822978,987032,1117890,3700297,-25.09,148.78,19.93,13.26,1101926,2471276,1.2426878029922155
Eastern,Hualien County,National Scenic Areas,秀姑巒溪遊客中心,14150,13621,15319,15052,13856,18729,24300,19043,19355,19001,14394,12615,13843,11721,8533,7858,8273,19395,37666,43189,24635,23177,14539,7300,11831,13457,12905,14545,7585,0,173,6603,11291,13032,12065,11986,9653,11393,10795,11389,5866,12363,27361,26091,16509,11080,8010,8828,11218,9179,8258,11920,9231,16730,18161,19483,11143,12806,10428,9829,199435,220129,115473,159338,148386,842761,10.38,-47.54,37.99,-6.87,472302,356098,-0.24603749296001287
Northern,New Taipei City,Temples,法鼓山世界佛教教育園區,14186,55780,19135,18906,16513,9928,14419,12844,12814,14498,25405,11928,32996,10542,8172,6170,7912,7597,8224,8972,7570,13034,10616,7901,10542,24250,12410,14050,4390,0,0,2859,4330,5233,3948,7320,7169,16418,8250,7460,3998,5941,7919,7461,7211,7550,7913,8123,30215,12037,10142,14075,11584,8060,8867,7993,9799,10185,11382,9963,226356,129706,89332,95413,144302,685109,-42.7,-31.13,6.81,51.24,417314,260546,-0.37565957528383903
Northern,Taipei City,Museums,台北當代藝術館,14230,10494,23031,19933,51432,46863,26644,26451,21766,36076,41609,18852,17445,9018,6791,5653,7574,9660,9495,12064,11110,14148,19356,13717,13443,7131,10095,5560,1986,0,3913,9987,8698,12766,14308,19288,15399,7775,11655,12784,6363,9457,10782,9286,9813,11027,10943,27829,10333,13679,17537,18755,24949,15662,34707,21335,12381,20731,13253,13525,337381,136031,107175,143113,216847,940547,-59.68,-21.21,33.53,51.52,509641,415020,-0.1856620640804017
Southern,Pingtung County,Forest Recreation Areas,墾丁國家森林遊樂區,14279,17180,12754,14653,10385,8477,9898,7027,9678,15195,14264,12427,14697,10345,5776,5972,4327,9327,14654,14566,13813,20204,16757,18387,13531,19606,12610,15156,7004,0,1251,5675,8286,9658,17397,20901,14686,16437,17104,12602,13036,7724,18350,16243,12203,17335,14666,16150,23226,17784,14043,19884,12069,12225,15116,13501,9418,10001,14415,16831,146217,148825,131075,176536,178513,781166,1.78,-11.93,34.68,1.12,355945,411291,0.1554903145148829
Eastern,Taitung County,Forest Recreation Areas,知本國家森林遊樂區,14376,15392,10596,10289,7686,6222,10778,7091,7282,13208,14993,14137,16733,14403,6642,5936,5360,10460,18962,19287,14532,24995,16752,18839,17850,22338,13790,15804,6860,0,1792,7407,7405,9783,14676,23198,18574,20632,15319,12098,8576,7155,15513,14455,10659,11539,12656,17880,21022,16441,12166,17842,9763,10050,11126,11539,6745,13160,16308,19279,132050,172901,140903,165056,165441,776351,30.94,-18.51,17.14,0.23,374733,385559,0.028889902944229624
Northern,Taipei City,Others,白石湖吊橋,14390,26510,22346,18220,18955,8863,16241,12800,13238,17677,18576,18787,22899,29229,25656,14781,21475,18011,14923,9908,12431,23920,20569,20802,30704,38904,25191,25938,14611,8818,0,15891,15691,22741,17005,19508,19449,25282,25444,19362,12326,13315,14727,14893,13182,12558,16280,12785,23836,24125,19906,23417,18988,12266,12110,9233,10258,12684,15403,28354,206603,234604,235002,199603,210580,1086392,13.55,0.17,-15.06,5.5,561944,485128,-0.13669689506427687
Northern,Taoyuan City,Municipallevel and Countylevel Scenic Area,小烏來風景特定區,14480,28682,21222,22190,18136,31726,40452,29730,20128,32442,24962,16762,25427,31311,26901,30305,38129,53448,69113,63248,33432,47267,35937,17536,22779,26891,22987,24217,26308,16329,22030,32128,39401,43320,40683,39930,28465,31822,36418,34743,27125,46880,95285,71399,41528,42282,45379,35853,43002,43829,43916,47024,42453,59285,82126,44473,44159,45991,43262,44645,300912,472054,357003,537179,584165,2251313,56.87,-24.37,50.47,8.75,869840,1284678,0.4769129954934241
Central,Miaoli County,Leisure Agriculture Areas and Leisure Farm,飛牛牧場,14900,35341,25579,31124,16994,17727,16104,13719,18421,31666,26123,20085,22503,21309,15761,15282,15290,18621,18209,26697,21368,36108,29567,22401,24976,44262,23621,33318,10331,0,3017,14153,16247,25234,29620,24700,17938,29772,18113,20350,7345,11633,15648,16339,12366,21914,22923,18437,33853,22963,19026,19036,15950,14436,11309,12084,11098,19826,19890,20197,267783,263116,249479,212778,219668,1212824,-1.74,-5.18,-14.71,3.24,657076,528247,-0.19606407782356988
Northern,New Taipei City,Forest Recreation Areas,內洞國家森林遊樂區,14937,23962,20500,22618,17594,22334,29631,20775,18477,28501,21845,17881,14469,20156,18254,14433,19706,28256,31870,30985,18592,28180,21690,11191,18032,25683,17862,21365,10669,0,1074,16771,21710,17149,12265,10528,8659,10556,15935,15958,10250,19328,29295,26516,12479,11058,14702,8793,15145,14812,15776,21175,14389,14580,20386,13456,14641,15083,14773,12612,259055,257782,173108,183529,186828,1060302,-0.49,-32.85,6.02,1.8,599779,432009,-0.27971969675497144
Central,Nantou County,Others,天空之橋,15006,28499,17067,16535,10784,12763,13516,11738,14696,19004,17229,15126,20424,18335,11895,12954,10508,12098,12124,13690,10147,18398,15059,11990,14256,22367,12080,12714,4539,0,989,5699,7626,13279,13564,12714,9139,16441,8616,8357,4002,5111,8859,8793,6867,10775,8499,7538,14900,10528,6751,9961,6040,5706,5548,5113,5228,8840,8252,9377,191963,167622,119827,102997,96244,678653,-12.68,-28.51,-14.05,-6.56,421002,246424,-0.4146726143818794
Eastern,Hualien County,National Scenic Areas,立川漁場,15940,21285,24600,27899,26145,31259,38800,33500,28037,40200,26690,25300,17775,10243,6261,4045,8670,32374,37190,69127,53929,49610,22290,26660,18020,20530,17390,17505,9890,0,0,17440,14063,14140,27660,18020,19290,15840,15415,14805,3645,5536,27680,23328,30226,24830,13530,16439,16250,11742,7235,13308,21500,17800,21230,27310,18502,26235,25720,22780,339655,338174,174658,210564,229612,1292663,-0.44,-48.35,20.56,9.05,751274,514059,-0.3157503121364509
Northern,New Taipei City,National Scenic Areas,三芝遊憩區,15946,25931,37552,41618,36768,32569,37133,31152,31313,28477,33573,16137,29790,35074,36332,32485,45544,39013,36054,33220,23400,31261,32891,13375,13846,28600,25607,36256,19545,3621,3989,19079,38730,35944,25545,20807,17342,36784,53466,49493,36820,49287,51749,47784,34851,35586,30300,20837,29979,32832,41878,53361,18485,39849,28037,35265,35051,47847,29816,22885,368169,388439,271569,464299,415285,1907761,5.51,-30.09,70.97,-10.56,860917,1000610,0.1622607057358607
Southern,Pingtung County,National Parks,砂島貝殼砂展示館,15993,28939,16539,15485,13553,15970,18322,13463,8003,10444,9447,11011,11665,8368,5781,2579,3507,8326,13007,8060,7456,10598,7970,8565,6769,9431,6592,9296,3673,0,325,2540,2335,2590,2270,2714,3257,4623,2654,9296,2350,3732,5978,5622,3877,5622,4248,4893,8302,5867,5037,6916,6145,7695,9896,8524,5427,9403,8195,10322,177169,95882,48535,56152,91729,469467,-45.88,-49.38,15.69,63.36,305139,157790,-0.4828914035898394
Northern,Taipei City,National Parks,陽明山遊客中心,16358,34154,19223,22918,18408,20368,20841,21888,13500,17686,16880,15873,18936,14591,12992,9603,10249,12303,13064,10650,9458,9071,8622,5340,9087,10321,9338,11290,4219,0,175,835,1201,1127,1555,3309,4733,6628,7705,5146,3517,7594,14315,11911,7465,5787,6438,6593,60330,60338,73293,70644,58005,60807,74049,56339,63333,64186,69000,54682,238097,134879,52457,87832,765006,1278271,-43.35,-61.11,67.44,770.99,413012,860030,1.0823365907043863
Northern,New Taipei City,Others,大板根森林溫泉酒店,16835,15971,12903,14583,13768,16143,16968,16715,17241,18824,17068,17256,18952,9388,4328,3579,10917,14030,18483,24044,24010,29146,25429,17854,15004,14838,11146,13719,6499,244,1146,4482,4042,10302,17151,19815,13731,11448,11524,9941,2866,5462,15307,17588,19460,19759,15135,19880,19788,14779,12906,15176,14575,14815,15971,16039,18390,18146,17103,18770,194275,200160,118388,162101,196458,871382,3.03,-40.85,36.92,21.19,449142,409869,-0.08744005236651214
Southern,Tainan City,Leisure Agriculture Areas and Leisure Farm,走馬瀨農場,16902,49639,31976,31614,25546,16713,11803,9688,16902,40161,22451,28983,26725,39472,11306,7734,3988,22222,10889,10198,9414,26160,18858,18011,12031,18929,13036,15231,6038,0,1366,2495,4715,10200,17853,28811,10975,18681,18729,16329,2869,3135,7321,7723,10007,15946,18287,23114,24747,16531,15752,20180,20916,21099,8808,9927,11807,14127,19855,24730,302378,204977,130705,153116,208479,999655,-32.21,-36.23,17.15,36.16,566582,423174,-0.2531107589016241
Southern,Tainan City,National Scenic Areas,井仔腳瓦盤鹽田,17328,25826,21678,21282,16551,23716,21609,20215,20172,25324,24973,23939,31818,22649,7526,955,11379,17184,15947,18337,16282,21827,15829,14316,12895,20146,12593,15867,7881,0,4162,8984,15126,27230,35487,36432,24843,45528,36483,28278,12983,17768,91205,47381,34066,38277,40902,37213,54473,45616,41970,66065,53165,42537,43223,32166,36103,68656,72461,79758,262613,194049,196803,454927,636193,1744585,-26.11,1.42,131.16,39.85,518163,1205395,1.3262853580823022
