_Name,2019年遊客量,2020年遊客量,2020變化率,2021年遊客量,2021變化率,2022年遊客量,2022變化率,2023年遊客量,2023變化率
松山文創園區,6770121,5594975,-17.36,4282077,-23.47,5330890,24.49,7929027,48.74
林口三井Outlet,9536522,8772658,-8.01,6505912,-25.84,6922569,6.4,8423005,21.67
林本源園邸(林家花園),290502,407187,40.17,118447,-70.91,118158,-0.24,168527,42.63
武荖坑風景區,67310,167429,148.74,485589,190.03,51179,-89.46,456315,791.61
武陵農場,443780,482165,8.65,432831,-10.23,473910,9.49,422311,-10.89
武陵遊客中心,171458,194550,13.47,141411,-27.31,145238,2.71,133422,-8.14
法鼓山世界佛教教育園區,226356,129706,-42.7,89332,-31.13,95413,6.81,144302,51.24
知本國家森林遊樂區,132050,172901,30.94,140903,-18.51,165056,17.14,165441,0.23
社頂自然公園,99075,86214,-12.98,96250,11.64,99400,3.27,81262,-18.25
祀典武廟,465728,274104,-41.15,199618,-27.17,242745,21.6,310537,27.93
花蓮管理站遊客中心,47997,70786,47.48,70164,-0.88,61168,-12.82,66132,8.12
花蓮縣石雕博物館,56644,48819,-13.81,23827,-51.19,19799,-16.91,21746,9.83
花蓮觀光糖廠,505044,550540,9.01,360063,-34.6,472763,31.3,970042,105.19
虎頭山風景特定區,1960012,3203915,63.46,2761841,-13.8,3312990,19.96,4109877,24.05
虎頭埤風景區,323201,377122,16.68,273397,-27.5,366042,33.89,413788,13.04
金山遊憩區,461147,846818,83.63,373350,-55.91,364652,-2.33,520952,42.86
金針山休閒農業區,186300,472500,153.62,256026,-45.81,183350,-28.39,140500,-23.37
金獅湖風景區,339271,441957,30.27,302922,-31.46,1781759,488.19,2125025,19.27
阿里山國家森林遊樂區,1353276,996980,-26.33,638992,-35.91,841507,31.69,985911,17.16
前清淡水關稅務司官邸 (小白宮),214767,107419,-49.98,64030,-40.39,82964,29.57,161277,94.39
南安遊客中心,333154,393993,18.26,333220,-15.42,324754,-2.54,275011,-15.32
南園人文客棧,21309,19904,-6.59,9326,-53.15,5654,-39.37,6850,21.15
南鯤鯓代天府,9796600,6626000,-32.36,2141300,-67.68,5120500,139.13,6583100,28.56
南灣遊憩區,431604,277589,-35.68,296912,6.96,383565,29.18,356034,-7.18
客家大院,56715,37065,-34.65,30470,-17.79,33888,11.22,33287,-1.77
柳營尖山埤渡假村,284549,236631,-16.84,161139,-31.9,169112,4.95,195476,15.59
砂島貝殼砂展示館,177169,95882,-45.88,48535,-49.38,56152,15.69,91729,63.36
美麗華摩天輪,225710,142227,-36.99,89561,-37.03,117085,30.73,175851,50.19
